"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geodata_center";"geoarea";
"Локальный идентификатор";"Наименование транспортно-пересадочного узла";"global_id";"Административный округ по адресу";"Район";"Станция метро или платформа, возле которой находится ТПУ";"Год ввода в эксплуатацию";"Статус объекта";"Возможность пересадки";"Количество машиномест";"geodata_center";"geoarea";
"96";"Транспортно-пересадочный узел «Сортировочная» (п)";"1769845";"Юго-Восточный административный округ";"район Лефортово";"платформа «Сортировочная»";"2014";"проект";"пригородная железная дорога";"";"";"";
"97";"Транспортно-пересадочный узел «Фрезер» (п)";"1769846";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Фрезер»";"2014";"построен";"пригородная железная дорога";"45";"";"";
"98";"Транспортно-пересадочный узел «Чухлинка» (п)";"1769847";"Юго-Восточный административный округ";"Рязанский район";"платформа «Чухлинка»";"2014";"построен";"пригородная железная дорога";"";"";"";
"99";"Транспортно-пересадочный узел «Братиславская» (п)";"1769848";"Юго-Восточный административный округ";"район Марьино";"станция метро «Братиславская»";"2015";"построен";"метро; перехватывающая парковка";"320";"";"";
"100";"Транспортно-пересадочный узел «Волжская» (п)";"1769849";"Юго-Восточный административный округ";"район Люблино";"станция метро «Волжская»";"2014";"построен";"метро; перехватывающая парковка";"240";"";"";
"101";"Транспортно-пересадочный узел «Депо» (п)";"1769850";"Юго-Восточный административный округ";"район Печатники";"платформа «Депо»";"2014";"построен";"пригородная железная дорога";"45";"";"";
"102";"Транспортно-пересадочный узел «Дубровка» (п)";"1769851";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Дубровка»";"2014";"проект";"метро";"";"";"";
"103";"Транспортно-пересадочный узел «Калитники» (п)";"1769852";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Калитники»";"2014";"построен";"пригородная железная дорога";"";"";"";
"104";"Транспортно-пересадочный узел «Карачарово» (п)";"1769853";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Карачарово»";"2014";"построен";"пригородная железная дорога";"";"";"";
"105";"Транспортно-пересадочный узел «Кожуховская» (п)";"1769854";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Кожуховская»";"2014";"построен";"метро; перехватывающая парковка";"120";"";"";
"106";"Транспортно-пересадочный узел «Люблино» (п) (3)";"1769855";"Юго-Восточный административный округ";"район Печатники";"платформа «Люблино»";"2014";"построен";"пригородная железная дорога";"85";"";"";
"107";"Транспортно-пересадочный узел «Марьино» (к)";"1769856";"Юго-Восточный административный округ";"район Марьино";"станция метро «Марьино»";"2018";"проект";"Метро; перехватывающая парковка";"230";"";"";
"108";"Транспортно-пересадочный узел «Москва-Товарная-Павелецкая» (п)";"1769857";"Южный административный округ";"Даниловский район";"платформа «Москва-Товарная-Павелецкая»";"2014";"построен";"пригородная железная дорога";"";"";"";
"109";"Транспортно-пересадочный узел «Перерва» (п)";"1769858";"Юго-Восточный административный округ";"район Печатники";"платформа «Перерва»";"2014";"построен";"пригородная железная дорога";"113";"";"";
"110";"Транспортно-пересадочный узел «Печатники» (п)";"1769859";"Юго-Восточный административный округ";"район Печатники";"станция метро «Печатники»";"2015";"построен";"метро; перехватывающая парковка; пригородная железная дорога";"160";"";"";
"111";"Транспортно-пересадочный узел «Плющево» (п)";"1769860";"Юго-Восточный административный округ";"Рязанский район";"платформа «Плющево»";"2014";"проект";"пригородная железная дорога";"";"";"";
"112";"Транспортно-пересадочный узел «Профсоюзная» (п)";"1769861";"Юго-Западный административный округ";"Академический район";"станция метро «Профсоюзная»";"2015";"построен";"метро; перехватывающая парковка";"500";"";"";
"113";"Транспортно-пересадочный узел «Севастопольская»";"1769862";"Юго-Западный административный округ";"район Зюзино";"станция метро «Севастопольская»";"2014";"построен";"метро";"110";"";"";
"114";"Транспортно-пересадочный узел «Улица Скобелевская» (п)";"1769863";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Скобелевская»";"2014";"построен";"метро";"80";"";"";
"115";"Транспортно-пересадочный узел «Улица Горчакова» (п)";"1769864";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Горчакова»";"2014";"построен";"метро";"52";"";"";
"116";"Транспортно-пересадочный узел «Академическая» (п)";"1769865";"Юго-Западный административный округ";"Академический район";"станция метро «Академическая»";"2015";"построен";"метро; перехватывающая парковка";"260";"";"";
"117";"Транспортно-пересадочный узел «Беляево» (п)";"1769866";"Юго-Западный административный округ";"район Коньково";"станция метро «Беляево»";"2015";"построен";"метро; перехватывающая парковка";"275";"";"";
"118";"Транспортно-пересадочный узел «Бульвар адмирала Ушакова» (п)";"1769867";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бульвар адмирала Ушакова»";"2014";"построен";"метро";"95";"";"";
"119";"Транспортно-пересадочный узел «Бунинская аллея» (п)";"1769868";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бунинская аллея»";"2014";"проект";"метро";"";"";"";
"120";"Транспортно-пересадочный узел «Бутово» (п)";"1769869";"Юго-Западный административный округ";"район Южное Бутово";"платформа «Бутово»";"2014";"построен";"пригородная железная дорога";"50";"";"";
